Date,,A,B,C
2015/1/30,A,0.0002037173977985179,0.00021464359236957655,0.00020712169394487446
2015/1/30,B,0.00021464359236957655,0.00022642831243754945,0.00021846767539936428
2015/1/30,C,0.00020712169394487446,0.00021846767539936428,0.00021103119846768703
2015/2/2,A,0.00018245226360582998,0.00019377395678054225,0.00018654711503135864
2015/2/2,B,0.00019377395678054225,0.00020605660777115231,0.00019839080790432084
2015/2/2,C,0.00018654711503135864,0.00019839080790432084,0.00019124532697735648
2015/2/3,A,0.000197012470869678,0.00020886134255866873,0.0002011950146901364
2015/2/3,B,0.00020886134255866873,0.00022168853505282084,0.00021356431537415267
2015/2/3,C,0.0002011950146901364,0.00021356431537415267,0.0002059683866818138
2015/2/4,A,0.0002050252638256228,0.0002173212312297008,0.0002096163564087082
2015/2/4,B,0.0002173212312297008,0.0002305819359878288,0.00022241566222141386
2015/2/4,C,0.0002096163564087082,0.00022241566222141386,0.00021477781713521714
2015/2/5,A,0.00019933839359755523,0.00021108566207667277,0.00020327815774774226
2015/2/5,B,0.00021108566207667277,0.0002237482570232866,0.00021547555452741576
2015/2/5,C,0.00020327815774774226,0.00021547555452741576,0.0002077399787171966
2015/2/6,A,0.0001998839384156385,0.0002115975871370638,0.00020420306231280547
2015/2/6,B,0.0002115975871370638,0.00022422730017405854,0.00021636381029321798
2015/2/6,C,0.00020420306231280547,0.00021636381029321798,0.00020899762419881744
2015/2/9,A,0.00015892237453082165,0.00016777246898398853,0.0001624346444633072
2015/2/9,B,0.00016777246898398853,0.00017735712372837935,0.00017168634967621794
2015/2/9,C,0.0001624346444633072,0.00017168634967621794,0.00016641283883593775
2015/2/10,A,0.00013355251896739805,0.00014001310126902556,0.00013501169431660046
2015/2/10,B,0.00014001310126902556,0.00014704063692251647,0.00014173515637869242
2015/2/10,C,0.00013501169431660046,0.00014173515637869242,0.0001368226154303117
2015/2/11,A,0.00013591003008637915,0.00014256336447156598,0.00013705623494592422
2015/2/11,B,0.00014256336447156598,0.00014976793685557018,0.00014396774998009176
2015/2/11,C,0.00013705623494592422,0.00014396774998009176,0.00013858186960091082
2015/2/12,A,0.00013500824757928833,0.0001416189701028083,0.00013594552527703235
2015/2/12,B,0.0001416189701028083,0.00014878842396177014,0.0001428257696339553
2015/2/12,C,0.00013594552527703235,0.0001428257696339553,0.00013726116398791096
2015/2/13,A,0.00013765207449519773,0.00014484230979245908,0.00013861648943430059
2015/2/13,B,0.00014484230979245908,0.00015269844826013113,0.0001460695779796362
2015/2/13,C,0.00013861648943430059,0.0001460695779796362,0.00013995152617642906
2015/2/17,A,0.00012022583752392303,0.00012661704824284387,0.0001218694095401511
2015/2/17,B,0.00012661704824284387,0.0001336380837088089,0.00012855040661993557
2015/2/17,C,0.0001218694095401511,0.00012855040661993557,0.00012388884265320172
2015/2/18,A,8.882093503805212e-05,9.346053691065982e-05,8.948846632656526e-05
2015/2/18,B,9.346053691065982e-05,9.863367319717285e-05,9.435958915416486e-05
2015/2/18,C,8.948846632656526e-05,9.435958915416486e-05,9.051194174153511e-05
2015/2/19,A,9.146142123034922e-05,9.623850086447951e-05,9.266371671115995e-05
2015/2/19,B,9.623850086447951e-05,0.00010154546225678707,9.766311796800857e-05
