Date,CSI
2016/4/21,0.856
2016/4/22,0.92
2016/4/25,0.924
2016/4/26,0.912
2016/4/27,0.904
2016/4/28,0.912
2016/4/29,0.996
2016/5/2,0.98
2016/5/3,0.976
2016/5/4,0.976
2016/5/5,0.996
2016/5/6,0.988
2016/5/9,0.948
2016/5/10,0.952
2016/5/11,0.996
2016/5/12,0.992
2016/5/13,0.904
2016/5/16,0.888
2016/5/17,0.852
2016/5/18,0.88
2016/5/19,0.884
2016/5/20,0.824
2016/5/23,0.812
2016/5/24,0.808
2016/5/25,0.724
2016/5/26,0.724
2016/5/27,0.768
2016/5/31,0.768
2016/6/1,0.76
2016/6/2,0.704
2016/6/3,0.692
2016/6/6,0.696
2016/6/7,0.7
2016/6/8,0.68
2016/6/9,0.684
2016/6/10,0.676
2016/6/13,0.684
2016/6/14,0.672
2016/6/15,0.668
2016/6/16,0.664
2016/6/17,0.724
2016/6/20,0.644
2016/6/21,0.644
2016/6/22,0.636
2016/6/23,0.632
2016/6/24,0.628
2016/6/27,0.56
2016/6/28,0.568
2016/6/29,0.564
2016/6/30,0.568
2016/7/1,0.604
2016/7/5,0.608
2016/7/6,0.576
2016/7/7,0.576
2016/7/8,0.572
2016/7/11,0.576
2016/7/12,0.596
2016/7/13,0.612
2016/7/14,0.556
2016/7/15,0.52
2016/7/18,0.384
2016/7/19,0.3
2016/7/20,0.304
2016/7/21,0.316
2016/7/22,0.332
2016/7/25,0.3
2016/7/26,0.032
2016/7/27,0.108
2016/7/28,0.112
2016/7/29,0.236
2016/8/1,0.036
2016/8/2,0.04
2016/8/3,0.036
2016/8/4,0.04
2016/8/5,0.004
2016/8/8,0.024
2016/8/9,0.024
2016/8/10,0.024
2016/8/11,0.024
2016/8/12,0.024
2016/8/15,0.028
2016/8/16,0.024
2016/8/17,0.024
2016/8/18,0.028
2016/8/19,0.004
2016/8/22,0.004
2016/8/23,0.004
2016/8/24,0.004
2016/8/25,0.012
2016/8/26,0.004
2016/8/29,0.004
2016/8/30,0.024
2016/8/31,0.028
2016/9/1,0.036
2016/9/2,0.088
2016/9/6,0.104
2016/9/7,0.2
2016/9/8,0.504
2016/9/9,0.524
2016/9/12,0.64
