Date,FTI
2016/4/21,1.0
2016/4/22,1.0
2016/4/25,1.0
2016/4/26,1.0
2016/4/27,0.996
2016/4/28,0.996
2016/4/29,1.0
2016/5/2,1.0
2016/5/3,0.996
2016/5/4,1.0
2016/5/5,1.0
2016/5/6,1.0
2016/5/9,0.996
2016/5/10,0.988
2016/5/11,0.988
2016/5/12,0.98
2016/5/13,0.976
2016/5/16,1.0
2016/5/17,1.0
2016/5/18,1.0
2016/5/19,1.0
2016/5/20,0.996
2016/5/23,1.0
2016/5/24,0.996
2016/5/25,1.0
2016/5/26,1.0
2016/5/27,1.0
2016/5/31,1.0
2016/6/1,1.0
2016/6/2,0.996
2016/6/3,1.0
2016/6/6,0.996
2016/6/7,0.984
2016/6/8,0.988
2016/6/9,0.976
2016/6/10,1.0
2016/6/13,0.988
2016/6/14,1.0
2016/6/15,1.0
2016/6/16,0.996
2016/6/17,0.996
2016/6/20,0.94
2016/6/21,0.936
2016/6/22,0.952
2016/6/23,0.968
2016/6/24,0.932
2016/6/27,0.92
2016/6/28,0.912
2016/6/29,0.896
2016/6/30,0.888
2016/7/1,0.868
2016/7/5,0.852
2016/7/6,0.82
2016/7/7,0.82
2016/7/8,0.796
2016/7/11,0.788
2016/7/12,0.784
2016/7/13,0.78
2016/7/14,0.768
2016/7/15,0.76
2016/7/18,0.752
2016/7/19,0.552
2016/7/20,0.524
2016/7/21,0.508
2016/7/22,0.544
2016/7/25,0.544
2016/7/26,0.524
2016/7/27,0.492
2016/7/28,0.472
2016/7/29,0.46
2016/8/1,0.452
2016/8/2,0.448
2016/8/3,0.444
2016/8/4,0.44
2016/8/5,0.432
2016/8/8,0.412
2016/8/9,0.404
2016/8/10,0.376
2016/8/11,0.392
2016/8/12,0.372
2016/8/15,0.364
2016/8/16,0.352
2016/8/17,0.324
2016/8/18,0.344
2016/8/19,0.328
2016/8/22,0.296
2016/8/23,0.24
2016/8/24,0.244
2016/8/25,0.268
2016/8/26,0.248
2016/8/29,0.232
2016/8/30,0.148
2016/8/31,0.256
2016/9/1,0.28
2016/9/2,0.308
2016/9/6,0.18
2016/9/7,0.188
2016/9/8,0.116
2016/9/9,0.232
2016/9/12,0.32
2016/9/13,0.312
2016/9/14,0.304
2016/9/15,0.172
2016/9/16,0.144
2016/9/19,0.124
2016/9/20,0.12
2016/9/21,0.12
2016/9/22,0.116
2016/9/23,0.12
2016/9/26,0.124
2016/9/27,0.176
2016/9/28,0.168
2016/9/29,0.336
2016/9/30,0.364
2016/10/3,0.372
2016/10/4,0.356
2016/10/5,0.364
2016/10/6,0.376
2016/10/7,0.308
2016/10/10,0.3
2016/10/11,0.348
2016/10/12,0.336
2016/10/13,0.336
2016/10/14,0.332
2016/10/17,0.192
2016/10/18,0.288
2016/10/19,0.308
2016/10/20,0.352
2016/10/21,0.392
2016/10/24,0.392
2016/10/25,0.384
2016/10/26,0.396
2016/10/27,0.428
2016/10/28,0.44
2016/10/31,0.452
2016/11/1,0.464
2016/11/2,0.464
2016/11/3,0.452
2016/11/4,0.432
2016/11/7,0.424
2016/11/8,0.432
2016/11/9,0.432
2016/11/10,0.444
2016/11/11,0.444
2016/11/14,0.468
2016/11/15,0.476
2016/11/16,0.46
2016/11/17,0.456
2016/11/18,0.416
2016/11/21,0.496
2016/11/22,0.504
2016/11/23,0.528
2016/11/25,0.508
2016/11/28,0.496
2016/11/29,0.524
2016/11/30,0.532
2016/12/1,0.524
2016/12/2,0.496
2016/12/5,0.436
2016/12/6,0.424
2016/12/7,0.4
2016/12/8,0.396
2016/12/9,0.424
2016/12/12,0.412
2016/12/13,0.392
2016/12/14,0.448
2016/12/15,0.448
2016/12/16,0.468
2016/12/19,0.476
2016/12/20,0.452
2016/12/21,0.412
2016/12/22,0.416
2016/12/23,0.332
2016/12/27,0.336
2016/12/28,0.3
2016/12/29,0.3
2016/12/30,0.264
2017/1/3,0.264
2017/1/4,0.276
2017/1/5,0.308
2017/1/6,0.208
2017/1/9,0.256
2017/1/10,0.244
2017/1/11,0.204
2017/1/12,0.204
2017/1/13,0.124
2017/1/17,0.116
2017/1/18,0.104
2017/1/19,0.164
2017/1/20,0.264
2017/1/23,0.38
2017/1/24,0.44
2017/1/25,0.752
2017/1/26,0.752
2017/1/27,0.752
2017/1/30,0.752
2017/1/31,0.752
2017/2/1,0.748
2017/2/2,0.744
2017/2/3,0.752
2017/2/6,0.74
2017/2/7,0.752
2017/2/8,0.752
2017/2/9,0.748
2017/2/10,0.732
2017/2/13,0.744
2017/2/14,0.74
2017/2/15,0.744
2017/2/16,0.74
2017/2/17,0.688
2017/2/21,0.684
2017/2/22,0.68
2017/2/23,0.676
2017/2/24,0.68
2017/2/27,0.672
2017/2/28,0.68
2017/3/1,0.664
2017/3/2,0.656
2017/3/3,0.652
2017/3/6,0.644
2017/3/7,0.644
2017/3/8,0.636
2017/3/9,0.632
2017/3/10,0.652
2017/3/13,0.652
2017/3/14,0.636
2017/3/15,0.64
2017/3/16,0.68
2017/3/17,0.68
2017/3/20,0.684
2017/3/21,0.692
2017/3/22,0.684
2017/3/23,0.68
2017/3/24,0.668
2017/3/27,0.668
2017/3/28,0.692
2017/3/29,0.692
2017/3/30,0.688
2017/3/31,0.684
2017/4/3,0.684
2017/4/4,0.696
2017/4/5,0.684
2017/4/6,0.7
2017/4/7,0.7
2017/4/10,0.692
2017/4/11,0.688
2017/4/12,0.704
2017/4/13,0.664
2017/4/17,0.628
2017/4/18,0.612
2017/4/19,0.764
2017/4/20,0.768
2017/4/21,0.528
2017/4/24,0.532
2017/4/25,0.54
2017/4/26,0.532
2017/4/27,0.532
2017/4/28,0.536
2017/5/1,0.536
2017/5/2,0.544
2017/5/3,0.808
2017/5/4,0.812
2017/5/5,0.816
2017/5/8,0.824
2017/5/9,0.828
2017/5/10,0.832
2017/5/11,0.836
2017/5/12,1.0
2017/5/15,1.0
2017/5/16,1.0
2017/5/17,1.0
2017/5/18,0.996
2017/5/19,0.996
2017/5/22,0.996
2017/5/23,1.0
2017/5/24,1.0
2017/5/25,1.0
2017/5/26,1.0
2017/5/30,1.0
2017/5/31,1.0
2017/6/1,1.0
2017/6/2,1.0
2017/6/5,1.0
2017/6/6,0.996
2017/6/7,1.0
2017/6/8,1.0
2017/6/9,0.996
2017/6/12,1.0
2017/6/13,0.996
2017/6/14,1.0
2017/6/15,0.988
2017/6/16,1.0
2017/6/19,0.996
2017/6/20,0.988
2017/6/21,1.0
