Date,,A,B,C
2015/1/30,A,0.0001217365547949603,0.00013176401202984696,0.00011033967256368503
2015/1/30,B,0.00013176401202984696,0.0001555208741097105,0.00013123867230074493
2015/1/30,C,0.00011033967256368503,0.00013123867230074493,0.00012050288655011212
2015/2/2,A,0.0001839657468196918,0.0002200751156096604,0.00018151242742183078
2015/2/2,B,0.0002200751156096604,0.0002794720024535545,0.0002302236462583388
2015/2/2,C,0.00018151242742183078,0.0002302236462583388,0.0001989391461966451
2015/2/3,A,0.00018467893436769378,0.0002217393635153487,0.00018323698098405143
2015/2/3,B,0.0002217393635153487,0.00028334659672241233,0.00023419175687306527
2015/2/3,C,0.00018323698098405143,0.00023419175687306527,0.00020275785459589687
2015/2/4,A,0.0001836041817151435,0.0002207651653029411,0.00018141493116081517
2015/2/4,B,0.0002207651653029411,0.0002832410899614948,0.00023300204702443695
2015/2/4,C,0.00018141493116081517,0.00023300204702443695,0.00019994325017018847
2015/2/5,A,0.0001603174832181942,0.00019189919277353036,0.00015898051256541567
2015/2/5,B,0.00019189919277353036,0.00024757096755582844,0.0002052049921136401
2015/2/5,C,0.00015898051256541567,0.0002052049921136401,0.00017833130178509154
2015/2/6,A,0.0001728308879674355,0.00020970992293140953,0.0001714631146242017
2015/2/6,B,0.00020970992293140953,0.00027237091546200733,0.0002228633851442421
2015/2/6,C,0.0001714631146242017,0.0002228633851442421,0.00019076179968254386
2015/2/9,A,0.00018436369268001032,0.0002188787891749567,0.0001746350404017108
2015/2/9,B,0.0002188787891749567,0.00027720771104833617,0.00022150188026924127
2015/2/9,C,0.0001746350404017108,0.00022150188026924127,0.000185485920366959
2015/2/10,A,0.0001795966180354341,0.000217616265459102,0.0001712589214521378
2015/2/10,B,0.000217616265459102,0.0002777946958213366,0.00022054296038969345
2015/2/10,C,0.0001712589214521378,0.00022054296038969345,0.0001830994533054804
2015/2/11,A,0.00017979616193923364,0.0002195240259727846,0.00017141120816128566
2015/2/11,B,0.0002195240259727846,0.0002825939023173021,0.00022361254060905938
2015/2/11,C,0.00017141120816128566,0.00022361254060905938,0.00018302194200318613
2015/2/12,A,0.00019394069291597525,0.00023281015066335548,0.0001809006390165569
2015/2/12,B,0.00023281015066335548,0.000294715831652714,0.0002313620485812778
2015/2/12,C,0.0001809006390165569,0.0002313620485812778,0.00018560228938144046
2015/2/13,A,0.0002059089110871205,0.0002485481043193781,0.00019407611771377452
2015/2/13,B,0.0002485481043193781,0.0003152952508559416,0.00024868165353428897
2015/2/13,C,0.00019407611771377452,0.00024868165353428897,0.0002001065096332093
